PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=138 ttl=47 time=51.0 ms
64 bytes from 141.44.1.1: icmp_seq=139 ttl=47 time=45.9 ms
64 bytes from 141.44.1.1: icmp_seq=140 ttl=47 time=58.7 ms
64 bytes from 141.44.1.1: icmp_seq=141 ttl=47 time=45.3 ms
64 bytes from 141.44.1.1: icmp_seq=142 ttl=47 time=46.3 ms
64 bytes from 141.44.1.1: icmp_seq=143 ttl=47 time=46.9 ms
64 bytes from 141.44.1.1: icmp_seq=144 ttl=47 time=134 ms
64 bytes from 141.44.1.1: icmp_seq=145 ttl=47 time=93.1 ms
64 bytes from 141.44.1.1: icmp_seq=146 ttl=47 time=71.6 ms
64 bytes from 141.44.1.1: icmp_seq=147 ttl=47 time=55.0 ms
64 bytes from 141.44.1.1: icmp_seq=148 ttl=47 time=77.5 ms
64 bytes from 141.44.1.1: icmp_seq=149 ttl=47 time=50.0 ms
64 bytes from 141.44.1.1: icmp_seq=150 ttl=47 time=103 ms
64 bytes from 141.44.1.1: icmp_seq=151 ttl=47 time=55.0 ms
64 bytes from 141.44.1.1: icmp_seq=152 ttl=47 time=48.9 ms
64 bytes from 141.44.1.1: icmp_seq=153 ttl=47 time=107 ms
64 bytes from 141.44.1.1: icmp_seq=154 ttl=47 time=68.8 ms
64 bytes from 141.44.1.1: icmp_seq=155 ttl=47 time=55.5 ms
64 bytes from 141.44.1.1: icmp_seq=156 ttl=47 time=92.7 ms
64 bytes from 141.44.1.1: icmp_seq=157 ttl=47 time=99.4 ms
64 bytes from 141.44.1.1: icmp_seq=158 ttl=47 time=44.5 ms
64 bytes from 141.44.1.1: icmp_seq=159 ttl=47 time=47.7 ms
64 bytes from 141.44.1.1: icmp_seq=160 ttl=47 time=107 ms
64 bytes from 141.44.1.1: icmp_seq=161 ttl=47 time=110 ms
64 bytes from 141.44.1.1: icmp_seq=162 ttl=47 time=101 ms
64 bytes from 141.44.1.1: icmp_seq=163 ttl=47 time=106 ms
64 bytes from 141.44.1.1: icmp_seq=164 ttl=47 time=74.8 ms
64 bytes from 141.44.1.1: icmp_seq=165 ttl=47 time=54.8 ms
64 bytes from 141.44.1.1: icmp_seq=166 ttl=47 time=93.2 ms
64 bytes from 141.44.1.1: icmp_seq=167 ttl=47 time=111 ms
64 bytes from 141.44.1.1: icmp_seq=168 ttl=47 time=91.0 ms
64 bytes from 141.44.1.1: icmp_seq=169 ttl=47 time=49.6 ms
64 bytes from 141.44.1.1: icmp_seq=170 ttl=47 time=104 ms
64 bytes from 141.44.1.1: icmp_seq=171 ttl=47 time=95.3 ms
64 bytes from 141.44.1.1: icmp_seq=172 ttl=47 time=86.5 ms
64 bytes from 141.44.1.1: icmp_seq=173 ttl=47 time=124 ms
64 bytes from 141.44.1.1: icmp_seq=174 ttl=47 time=84.0 ms
64 bytes from 141.44.1.1: icmp_seq=175 ttl=47 time=123 ms
64 bytes from 141.44.1.1: icmp_seq=176 ttl=47 time=91.6 ms
64 bytes from 141.44.1.1: icmp_seq=177 ttl=47 time=122 ms
64 bytes from 141.44.1.1: icmp_seq=178 ttl=47 time=61.4 ms
64 bytes from 141.44.1.1: icmp_seq=179 ttl=47 time=60.0 ms
64 bytes from 141.44.1.1: icmp_seq=180 ttl=47 time=58.9 ms
64 bytes from 141.44.1.1: icmp_seq=181 ttl=47 time=97.0 ms
64 bytes from 141.44.1.1: icmp_seq=182 ttl=47 time=64.9 ms
