PING 141.44.1.1 (141.44.1.1) 56(84) bytes of data.
64 bytes from 141.44.1.1: icmp_seq=209 ttl=54 time=354 ms
64 bytes from 141.44.1.1: icmp_seq=210 ttl=54 time=1029 ms
64 bytes from 141.44.1.1: icmp_seq=211 ttl=54 time=775 ms
64 bytes from 141.44.1.1: icmp_seq=212 ttl=54 time=507 ms
64 bytes from 141.44.1.1: icmp_seq=213 ttl=54 time=774 ms
64 bytes from 141.44.1.1: icmp_seq=214 ttl=54 time=1372 ms
64 bytes from 141.44.1.1: icmp_seq=215 ttl=54 time=922 ms
64 bytes from 141.44.1.1: icmp_seq=217 ttl=54 time=282 ms
64 bytes from 141.44.1.1: icmp_seq=219 ttl=54 time=226 ms
64 bytes from 141.44.1.1: icmp_seq=220 ttl=54 time=122 ms
64 bytes from 141.44.1.1: icmp_seq=221 ttl=54 time=563 ms
64 bytes from 141.44.1.1: icmp_seq=224 ttl=54 time=130 ms
64 bytes from 141.44.1.1: icmp_seq=225 ttl=54 time=154 ms
64 bytes from 141.44.1.1: icmp_seq=226 ttl=54 time=172 ms
64 bytes from 141.44.1.1: icmp_seq=227 ttl=54 time=1123 ms
64 bytes from 141.44.1.1: icmp_seq=228 ttl=54 time=931 ms
64 bytes from 141.44.1.1: icmp_seq=229 ttl=54 time=450 ms
64 bytes from 141.44.1.1: icmp_seq=230 ttl=54 time=104 ms
64 bytes from 141.44.1.1: icmp_seq=231 ttl=54 time=326 ms
64 bytes from 141.44.1.1: icmp_seq=232 ttl=54 time=421 ms
64 bytes from 141.44.1.1: icmp_seq=233 ttl=54 time=118 ms
64 bytes from 141.44.1.1: icmp_seq=234 ttl=54 time=84.5 ms
64 bytes from 141.44.1.1: icmp_seq=235 ttl=54 time=120 ms
64 bytes from 141.44.1.1: icmp_seq=236 ttl=54 time=166 ms
64 bytes from 141.44.1.1: icmp_seq=237 ttl=54 time=96.9 ms
64 bytes from 141.44.1.1: icmp_seq=240 ttl=54 time=89.0 ms
64 bytes from 141.44.1.1: icmp_seq=241 ttl=54 time=174 ms
